Day fraction since midnight on 	Temperature (C)	200 kPa (Pa)	Pump Run ()
0.4590863817	35.5361061096	16312.7763671875	0.0000000000
0.4590921885	35.5349693298	16112.1093750000	0.0000000000
0.4590979493	35.5359725952	15937.7929687500	0.0000000000
0.4591037330	35.5353546143	15768.4101562500	0.0000000000
0.4591095165	35.5509986877	15689.5869140625	0.0000000000
0.4591153236	35.5480842590	15737.6904296875	0.0000000000
0.4591211073	35.5579071045	15839.4267578125	0.0000000000
0.4591268910	35.5643119812	16012.9423828125	0.0000000000
0.4591326747	35.5817642212	15932.9541015625	0.0000000000
0.4591384584	35.5922317505	16102.9394531250	0.0000000000
0.4591442419	35.5805282593	16184.5830078125	0.0000000000
0.4591500256	35.6044502258	16265.3564453125	0.0000000000
0.4591558327	35.6076087952	16199.1884765625	0.0000000000
0.4591616161	35.6177177429	16275.2783203125	0.0000000000
0.4591673998	35.6227645874	16186.9199218750	0.0000000000
0.4591731836	35.6314468384	15898.1181640625	0.0000000000
0.4591789673	35.6279411316	15700.0917968750	0.0000000000
0.4591847512	35.6303634644	15608.9169921875	0.0000000000
0.4591905349	35.6279106140	15722.6982421875	0.0000000000
0.4591963417	35.6254997253	15746.9160156250	0.0000000000
0.4592021254	35.6249351501	15912.4414062500	0.0000000000
0.4592079091	35.6293983459	16025.8818359375	0.0000000000
0.4592136928	35.6339111328	16178.3203125000	0.0000000000
0.4592194763	35.6457557678	16256.0458984375	0.0000000000
0.4592252603	35.6506767273	16268.0947265625	0.0000000000
0.4592310440	35.6502647400	16334.2265625000	0.0000000000
0.4592368508	35.6728706360	16347.4169921875	0.0000000000
0.4592426345	35.6747131348	16260.2500000000	0.0000000000
0.4592484182	35.6899986267	16158.0126953125	0.0000000000
0.4592542017	35.6991615295	15930.1113281250	0.0000000000
0.4592599854	35.6981277466	15676.4560546875	0.0000000000
0.4592657925	35.7109069824	15728.5888671875	0.0000000000
0.4592715530	35.7143630981	15813.8710937500	0.0000000000
0.4592773599	35.7185974121	15876.3730468750	0.0000000000
0.4592831434	35.7245483398	15896.2294921875	0.0000000000
0.4592889271	35.7229728699	16127.6845703125	0.0000000000
0.4592947110	35.7242355347	16299.1093750000	0.0000000000
0.4593004945	35.7188644409	16161.0859375000	0.0000000000
0.4593062782	35.7299003601	16276.0244140625	0.0000000000
0.4593120621	35.7297096252	16390.5683593750	0.0000000000
0.4593178689	35.7318534851	16304.3515625000	0.0000000000
0.4593236524	35.7315902710	16172.7119140625	0.0000000000
0.4593294363	35.7388420105	15971.6308593750	0.0000000000
0.4593352198	35.7368812561	15780.3505859375	0.0000000000
0.4593410038	35.7398452759	15624.7773437500	0.0000000000
0.4593467875	35.7311935425	15794.4296875000	0.0000000000
0.4593525709	35.7338294983	15864.0664062500	0.0000000000
0.4593583780	35.7401199341	15905.3505859375	0.0000000000
0.4593641617	35.7482109070	16115.9521484375	0.0000000000
0.4593699454	35.7507629395	16120.1718750000	0.0000000000
0.4593757291	35.7778205872	16249.9697265625	0.0000000000
0.4593815126	35.7812805176	16154.1865234375	0.0000000000
0.4593872965	35.8045463562	16268.7324218750	0.0000000000
0.4593930802	35.8192253113	16349.7861328125	0.0000000000
0.4593988871	35.8356628418	16192.6074218750	0.0000000000
0.4594046708	35.8504257202	15930.2490234375	0.0000000000
0.4594104545	35.8684883118	15844.7333984375	0.0000000000
0.4594162380	35.8760337830	15658.6250000000	0.0000000000
0.4594220219	35.9001083374	15719.2451171875	0.0000000000
0.4594278056	35.9057960510	15868.2871093750	0.0000000000
0.4594335893	35.9210929871	15823.5048828125	0.0000000000
0.4594393959	35.9275245667	16047.1015625000	0.0000000000
