Day fraction since midnight on 	Temperature (C)	200 kPa (Pa)	Pump Run ()
0.7606727055	41.4022636414	12930.4345703125	0.0000000000
0.7606784895	41.3953895569	14412.7919921875	0.0000000000
0.7606842731	41.4003372192	15711.4814453125	0.0000000000
0.7606900569	41.3930511475	14441.9707031250	0.0000000000
0.7606958406	41.3949851990	15410.3427734375	0.0000000000
0.7607016474	41.3938713074	15100.8349609375	0.0000000000
0.7607074311	41.3934097290	14950.2158203125	0.0000000000
0.7607132148	41.3867721558	15687.5966796875	0.0000000000
0.7607189983	41.3823013306	14429.1894531250	0.0000000000
0.7607247822	41.3915138245	15022.1787109375	0.0000000000
0.7607305657	41.3900566101	15622.4169921875	0.0000000000
0.7607363496	41.3867263794	14394.9648437500	0.0000000000
0.7607421565	41.3840866089	15437.4003906250	0.0000000000
0.7607479402	41.3857879639	15070.4765625000	0.0000000000
0.7607537237	41.3827018738	14703.1816406250	0.0000000000
0.7607595076	41.3770332336	15788.2207031250	0.0000000000
0.7607652913	41.3808364868	14538.7431640625	0.0000000000
0.7607710750	41.3758659363	15110.4824218750	0.0000000000
0.7607768587	41.3801994324	15766.9794921875	0.0000000000
0.7607826653	41.3718681335	14317.5498046875	0.0000000000
0.7607884490	41.3733062744	15528.4189453125	0.0000000000
0.7607942327	41.3731689453	15157.0615234375	0.0000000000
0.7608000166	41.3679351807	14700.8417968750	0.0000000000
0.7608058001	41.3689689636	15904.8515625000	0.0000000000
0.7608115839	41.3678169250	14491.1523437500	0.0000000000
0.7608173907	41.3679008484	15480.2734375000	0.0000000000
0.7608231744	41.3591613770	15936.1738281250	0.0000000000
0.7608289581	41.3627090454	14429.9638671875	0.0000000000
0.7608347418	41.3632049561	15687.4443359375	0.0000000000
0.7608405257	41.3530464172	15370.5205078125	0.0000000000
0.7608463094	41.3586921692	14950.3427734375	0.0000000000
0.7608520929	41.3538589478	16047.0224609375	0.0000000000
0.7608579000	41.3541870117	14771.1865234375	0.0000000000
0.7608636835	41.3499336243	15415.4257812500	0.0000000000
0.7608694674	41.3470230103	16135.3994140625	0.0000000000
0.7608752509	41.3448028564	14740.4746093750	0.0000000000
0.7608810348	41.3465805054	15713.0996093750	0.0000000000
0.7608868185	41.3387184143	15510.3271484375	0.0000000000
0.7608926020	41.3410797119	14930.4287109375	0.0000000000
0.7608984090	41.3320083618	16123.7500000000	0.0000000000
0.7609041928	41.3329315186	14894.6152343750	0.0000000000
0.7609099765	41.3340606689	15461.1308593750	0.0000000000
0.7609157602	41.3322563171	16018.3466796875	0.0000000000
0.7609215436	41.3313598633	14641.0087890625	0.0000000000
0.7609273276	41.3326072693	15852.4335937500	0.0000000000
0.7609331111	41.3296546936	15550.3056640625	0.0000000000
0.7609389181	41.3230018616	15019.9091796875	0.0000000000
0.7609447018	41.3239631653	16164.6562500000	0.0000000000
0.7609504855	41.3213577271	14827.3574218750	0.0000000000
0.7609562690	41.3276367188	15449.4599609375	0.0000000000
0.7609620529	41.3184127808	16104.7060546875	0.0000000000
0.7609678366	41.3193397522	14569.4228515625	0.0000000000
0.7609736203	41.3133125305	15808.9550781250	0.0000000000
0.7609794272	41.3137702942	15573.1298828125	0.0000000000
0.7609852109	41.3121337891	15009.7832031250	0.0000000000
0.7609909946	41.3119697571	16053.4912109375	0.0000000000
0.7609967783	41.3031234741	14884.6396484375	0.0000000000
0.7610025620	41.3145103455	15395.7363281250	0.0000000000
0.7610083455	41.3140907288	16138.5683593750	0.0000000000
0.7610141294	41.3112144470	14675.0722656250	0.0000000000
0.7610199360	41.3057556152	15812.9541015625	0.0000000000
0.7610257197	41.3047714233	15442.7470703125	0.0000000000
0.7610315037	41.2990646362	14906.8417968750	0.0000000000
0.7610372874	41.2997856140	16095.4345703125	0.0000000000
0.7610430709	41.3011627197	14832.9785156250	0.0000000000
0.7610488546	41.3034133911	15434.7207031250	0.0000000000
0.7610546385	41.2971420288	15943.5546875000	0.0000000000
0.7610604454	41.2994575500	14584.8583984375	0.0000000000
0.7610662305	41.2991180420	15825.3564453125	0.0000000000
0.7610720142	41.2934532166	15606.0214843750	0.0000000000
0.7610777977	41.2947082520	14811.7880859375	0.0000000000
0.7610835814	41.2915000916	16090.7207031250	0.0000000000
0.7610893651	41.2916908264	14789.8906250000	0.0000000000
0.7610951488	41.2878723145	15575.9814453125	0.0000000000
0.7611009327	41.2850990295	16058.0224609375	0.0000000000
0.7611067394	41.2778854370	14553.0732421875	0.0000000000
0.7611125232	41.2784919739	15557.4609375000	0.0000000000
0.7611183068	41.2810745239	15736.0839843750	0.0000000000
0.7611240906	41.2761955261	15047.7900390625	0.0000000000
0.7611298742	41.2747459412	16034.0898437500	0.0000000000
0.7611356579	41.2799186707	14944.2958984375	0.0000000000
0.7611414647	41.2739486694	15337.3164062500	0.0000000000
0.7611472484	41.2708740234	16086.3818359375	0.0000000000
0.7611530321	41.2694091797	14667.4853515625	0.0000000000
0.7611588158	41.2676544189	15764.9462890625	0.0000000000
0.7611645998	41.2700157166	15770.0654296875	0.0000000000
0.7611703832	41.2646484375	14861.2675781250	0.0000000000
0.7611761669	41.2688865662	16055.7724609375	0.0000000000
0.7611819740	41.2589836121	15058.8134765625	0.0000000000
0.7611877575	41.2551956177	15420.6103515625	0.0000000000
0.7611935414	41.2574462891	16169.3535156250	0.0000000000
0.7611993249	41.2554969788	14666.2890625000	0.0000000000
0.7612051086	41.2525024414	15761.2978515625	0.0000000000
0.7612108923	41.2508087158	15716.4091796875	0.0000000000
0.7612166762	41.2482452393	14839.2675781250	0.0000000000
0.7612224829	41.2465782166	16034.0224609375	0.0000000000
0.7612282666	41.2474250793	14911.0722656250	0.0000000000
0.7612340503	41.2465400696	15437.8164062500	0.0000000000
0.7612398340	41.2448463440	16131.9052734375	0.0000000000
0.7612456177	41.2410163879	14702.8671875000	0.0000000000
0.7612514014	41.2449111938	15617.2705078125	0.0000000000
0.7612571853	41.2407379150	15667.0625000000	0.0000000000
0.7612629919	41.2301025391	14883.9062500000	0.0000000000
0.7612687756	41.2320213318	16035.9531250000	0.0000000000
0.7612745593	41.2341537476	14937.4111328125	0.0000000000
0.7612803430	41.2316131592	15383.1113281250	0.0000000000
0.7612861268	41.2336463928	16101.4423828125	0.0000000000
0.7612919107	41.2275390625	14677.0830078125	0.0000000000
0.7612976942	41.2208557129	15673.7207031250	0.0000000000
0.7613035010	41.2177009583	15714.0996093750	0.0000000000
0.7613092847	41.2310562134	14904.3613281250	0.0000000000
0.7613150684	41.2198104858	15985.7871093750	0.0000000000
0.7613208521	41.2145347595	14974.4746093750	0.0000000000
0.7613266358	41.2168350220	15308.1943359375	0.0000000000
0.7613324428	41.2106056213	16090.6113281250	0.0000000000
0.7613382032	41.2167587280	14592.4746093750	0.0000000000
0.7613440101	41.2143058777	15698.9042968750	0.0000000000
0.7613497938	41.2096557617	15781.1474609375	0.0000000000
0.7613555775	41.2073860168	14871.7812500000	0.0000000000
0.7613613612	41.2058944702	16007.3056640625	0.0000000000
0.7613671449	41.2011375427	14912.5371093750	0.0000000000
0.7613729288	41.1966323853	15382.3935546875	0.0000000000
0.7613787123	41.2007789612	16112.4404296875	0.0000000000
0.7613845191	41.2011108398	14584.6982421875	0.0000000000
0.7613903029	41.1983222961	15699.7314453125	0.0000000000
0.7613960866	41.1966438293	15721.7802734375	0.0000000000
0.7614018705	41.2045516968	14929.6376953125	0.0000000000
0.7614076541	41.1921539307	16002.3681640625	0.0000000000
0.7614134377	41.1929550171	15047.1855468750	0.0000000000
0.7614192214	41.1914710999	15330.0322265625	0.0000000000
0.7614250282	41.1910057068	16106.6386718750	0.0000000000
0.7614308119	41.1897125244	14690.9960937500	0.0000000000
0.7614365958	41.1874465942	15679.6621093750	0.0000000000
0.7614423793	41.1854743958	15739.7197265625	0.0000000000
0.7614481630	41.1838378906	14838.0224609375	0.0000000000
0.7614539467	41.1800270081	15908.7724609375	0.0000000000
0.7614597304	41.1790046692	15056.3466796875	0.0000000000
0.7614655373	41.1782608032	15262.5810546875	0.0000000000
0.7614713210	41.1681671143	16094.3095703125	0.0000000000
0.7614771047	41.1711273193	14610.9570312500	0.0000000000
0.7614828884	41.1695785522	15567.9355468750	0.0000000000
0.7614886721	41.1712760925	15753.5185546875	0.0000000000
0.7614944558	41.1711082458	14828.6884765625	0.0000000000
0.7615002395	41.1672592163	15957.5830078125	0.0000000000
0.7615060464	41.1669540405	14958.5781250000	0.0000000000
0.7615118301	41.1640434265	15328.3574218750	0.0000000000
0.7615176140	41.1597099304	16099.4892578125	0.0000000000
0.7615234208	41.1569824219	14518.4150390625	0.0000000000
0.7615291812	41.1591224670	15600.3769531250	0.0000000000
0.7615349649	41.1515121460	15744.0419921875	0.0000000000
0.7615407486	41.1397819519	14850.2011718750	0.0000000000
0.7615465554	41.1476593018	15865.8720703125	0.0000000000
0.7615523391	41.1495475769	14994.5722656250	0.0000000000
0.7615581230	41.1459541321	15286.1347656250	0.0000000000
0.7615639065	41.1441612244	16066.1494140625	0.0000000000
0.7615697134	41.1456680298	14593.9853515625	0.0000000000
0.7615754739	41.1430358887	15518.2783203125	0.0000000000
0.7615812808	41.1441650391	15708.0156250000	0.0000000000
0.7615870645	41.1365585327	14732.8847656250	0.0000000000
0.7615928482	41.1374549866	15979.9843750000	0.0000000000
0.7615986319	41.1347694397	15094.8564453125	0.0000000000
0.7616044158	41.1358375549	15154.2080078125	0.0000000000
0.7616101995	41.1303634644	16118.2636718750	0.0000000000
0.7616159830	41.1360054016	14561.7822265625	0.0000000000
0.7616217669	41.1350440979	15522.4492187500	0.0000000000
0.7616275531	41.1323814392	15798.9814453125	0.0000000000
0.7616333600	41.1298675537	14747.2294921875	0.0000000000
0.7616391437	41.1291275024	15935.0478515625	0.0000000000
0.7616449274	41.1322708130	15019.6250000000	0.0000000000
0.7616507111	41.1197891235	15133.2431640625	0.0000000000
0.7616564948	41.1096649170	16093.4355468750	0.0000000000
0.7616622785	41.1187248230	14555.4169921875	0.0000000000
0.7616680622	41.1231880188	15647.2812500000	0.0000000000
0.7616738690	41.1132164001	15701.2919921875	0.0000000000
