Day fraction since midnight on 	Temperature (C)	200 kPa (Pa)	Pump Run ()
0.8018050760	37.0754203796	15098.8427734375	0.0000000000
0.8018108647	37.0753974915	15921.4892578125	0.0000000000
0.8018166496	37.0771865845	15731.0009765625	0.0000000000
0.8018224219	37.0747871399	14795.5625000000	0.0000000000
0.8018281983	37.0755577087	15711.5800781250	0.0000000000
0.8018340002	37.0728988647	16211.1425781250	0.0000000000
0.8018397877	37.0777244568	14703.9638671875	0.0000000000
0.8018455789	37.0788230896	15452.8496093750	0.0000000000
0.8018513722	37.0740623474	16151.4072265625	0.0000000000
0.8018571525	37.0806427002	15286.8759765625	0.0000000000
0.8018629401	37.0810737610	15213.5625000000	0.0000000000
0.8018687190	37.0716247559	15815.7900390625	0.0000000000
0.8018745128	37.0847854614	15837.5000000000	0.0000000000
0.8018803095	37.0794792175	14533.2871093750	0.0000000000
0.8018860933	37.0798454285	15461.4033203125	0.0000000000
0.8018918670	37.0779533386	16211.4609375000	0.0000000000
0.8018976649	37.0787811279	14561.6552734375	0.0000000000
0.8019034537	37.0859909058	15594.4140625000	0.0000000000
0.8019092377	37.0795936584	16172.4794921875	0.0000000000
0.8019150216	37.0747947693	15391.0253906250	0.0000000000
0.8019208057	37.0829849243	15022.7480468750	0.0000000000
0.8019265920	37.0583839417	15851.5292968750	0.0000000000
0.8019323893	37.0805053711	15919.5986328125	0.0000000000
0.8019381819	37.0818214417	14851.1220703125	0.0000000000
0.8019439534	37.0800895691	15653.6816406250	0.0000000000
0.8019497547	37.0815277100	16223.6777343750	0.0000000000
0.8019555293	37.0806007385	14684.4335937500	0.0000000000
0.8019613327	37.0750274658	15428.8330078125	0.0000000000
0.8019670980	37.0766792297	16233.3154296875	0.0000000000
0.8019728975	37.0752639771	15220.0888671875	0.0000000000
0.8019786803	37.0797576904	15099.1601562500	0.0000000000
0.8019844760	37.0741577148	15981.4511718750	0.0000000000
0.8019902543	37.0713996887	15796.1767578125	0.0000000000
0.8019960598	37.0787391663	14639.9941406250	0.0000000000
