Day fraction since midnight on 	Temperature (C)	200 kPa (Pa)	Pump Run ()
0.6843008926	39.5854988098	15302.5136718750	0.0000000000
0.6843066995	39.5968017578	15157.8408203125	0.0000000000
0.6843124833	39.5934143066	14968.9814453125	0.0000000000
0.6843182671	39.5910072327	14817.4003906250	0.0000000000
0.6843240509	39.5860748291	14856.5771484375	0.0000000000
0.6843298347	39.5851058960	15069.9179687500	0.0000000000
0.6843356187	39.5869178772	15098.9042968750	0.0000000000
0.6843414023	39.5856933594	15168.0800781250	0.0000000000
0.6843472092	39.5787811279	15355.4843750000	0.0000000000
0.6843529930	39.5747871399	15203.8427734375	0.0000000000
0.6843587768	39.5872650146	14951.3232421875	0.0000000000
0.6843645608	39.5786437988	14671.7089843750	0.0000000000
0.6843703444	39.5868949890	14887.8251953125	0.0000000000
0.6843761282	39.5814590454	15057.3564453125	0.0000000000
0.6843819120	39.5792465210	15012.8789062500	0.0000000000
0.6843877191	39.5838279724	15121.1152343750	0.0000000000
0.6843935027	39.5846481323	15220.3720703125	0.0000000000
0.6843992865	39.5800552368	15269.9042968750	0.0000000000
0.6844050703	39.5827178955	14894.2158203125	0.0000000000
0.6844108541	39.5802078247	14691.2216796875	0.0000000000
0.6844166379	39.5818786621	14860.1367187500	0.0000000000
0.6844224216	39.5822029114	15026.4160156250	0.0000000000
0.6844282076	39.5846252441	15106.2978515625	0.0000000000
0.6844340145	39.5889663696	15154.4453125000	0.0000000000
0.6844397986	39.5827293396	15243.0859375000	0.0000000000
0.6844455821	39.5825271606	15287.8027343750	0.0000000000
0.6844513659	39.5777549744	14956.4316406250	0.0000000000
0.6844571497	39.5831832886	14816.7666015625	0.0000000000
0.6844629335	39.5864524841	14830.0556640625	0.0000000000
0.6844687404	39.5854988098	15083.5039062500	0.0000000000
0.6844745242	39.5879631042	15171.7646484375	0.0000000000
0.6844803080	39.5829429626	15141.7568359375	0.0000000000
0.6844860920	39.5859680176	15289.3935546875	0.0000000000
0.6844918756	39.5793304443	15326.7314453125	0.0000000000
0.6844976594	39.5852203369	15013.9843750000	0.0000000000
0.6845034432	39.5866851807	14688.8935546875	0.0000000000
0.6845092503	39.5838623047	14872.3681640625	0.0000000000
0.6845150339	39.5900001526	15132.9267578125	0.0000000000
0.6845208177	39.5815467834	15076.8105468750	0.0000000000
0.6845266017	39.5865592957	15147.6093750000	0.0000000000
0.6845323853	39.5800895691	15303.2265625000	0.0000000000
0.6845381691	39.5891151428	15256.6679687500	0.0000000000
0.6845439529	39.5874900818	14917.6347656250	0.0000000000
0.6845497598	39.5872535706	14595.2265625000	0.0000000000
0.6845555436	39.5859298706	14956.8593750000	0.0000000000
0.6845613296	39.5893898010	15065.2109375000	0.0000000000
0.6845671134	39.5815200806	15092.4638671875	0.0000000000
0.6845728972	39.5839920044	15149.9589843750	0.0000000000
0.6845786812	39.5817108154	15336.1064453125	0.0000000000
0.6845844650	39.5803337097	15229.4970703125	0.0000000000
0.6845902486	39.5809822083	14977.9736328125	0.0000000000
0.6845960555	39.5799331665	14774.1025390625	0.0000000000
0.6846018393	39.5822143555	14853.6923828125	0.0000000000
0.6846076233	39.5812911987	15041.9931640625	0.0000000000
0.6846134069	39.5843658447	15149.2402343750	0.0000000000
0.6846191909	39.5826683044	15152.3183593750	0.0000000000
0.6846249771	39.5803527832	15225.3066406250	0.0000000000
0.6846307609	39.5849037170	15201.1699218750	0.0000000000
0.6846365474	39.5838775635	14993.7822265625	0.0000000000
0.6846423544	39.5920677185	14713.4355468750	0.0000000000
0.6846481382	39.5929031372	14904.9628906250	0.0000000000
0.6846539220	39.5979385376	15086.7421875000	0.0000000000
0.6846597060	39.6021232605	15110.2949218750	0.0000000000
0.6846654898	39.6009140015	15176.5175781250	0.0000000000
0.6846712736	39.6047935486	15258.5839843750	0.0000000000
0.6846770803	39.6041221619	15268.5205078125	0.0000000000
0.6846828641	39.6041870117	14945.7685546875	0.0000000000
0.6846886479	39.6028747559	14715.3691406250	0.0000000000
0.6846944317	39.6046257019	14897.0625000000	0.0000000000
0.6847002154	39.6073455811	15002.2460937500	0.0000000000
0.6847059994	39.5982742310	15058.6728515625	0.0000000000
0.6847117830	39.6025199890	15077.7832031250	0.0000000000
0.6847175668	39.6023750305	15212.5419921875	0.0000000000
0.6847233738	39.6052551270	15181.2666015625	0.0000000000
0.6847291578	39.5978012085	14872.1699218750	0.0000000000
0.6847349415	39.5996780396	14711.2285156250	0.0000000000
0.6847407253	39.5980682373	14817.5751953125	0.0000000000
0.6847465091	39.5918159485	14981.2675781250	0.0000000000
0.6847523161	39.6040420532	15010.2011718750	0.0000000000
0.6847580767	39.6018333435	15006.9365234375	0.0000000000
0.6847638837	39.6046485901	15233.1406250000	0.0000000000
0.6847696672	39.6053619385	15199.2109375000	0.0000000000
0.6847754512	39.5984573364	14912.4257812500	0.0000000000
0.6847812350	39.6024017334	14577.8349609375	0.0000000000
0.6847870188	39.6040763855	14784.3798828125	0.0000000000
0.6847928024	39.6043128967	15035.6992187500	0.0000000000
0.6847985862	39.6010665894	14903.1416015625	0.0000000000
0.6848043931	39.6012115479	15088.8437500000	0.0000000000
0.6848101771	39.6046714783	15090.3623046875	0.0000000000
0.6848159607	39.6064872742	15209.6982421875	0.0000000000
0.6848217445	39.6062889099	14896.1679687500	0.0000000000
0.6848275285	39.6076774597	14547.1025390625	0.0000000000
0.6848333121	39.6142654419	14906.2119140625	0.0000000000
0.6848390961	39.6115722656	14961.7646484375	0.0000000000
0.6848449028	39.6078987122	15011.8076171875	0.0000000000
0.6848506866	39.6118354797	15105.0859375000	0.0000000000
0.6848564704	39.6125297546	15139.1406250000	0.0000000000
0.6848622542	39.6104965210	15160.7578125000	0.0000000000
0.6848680380	39.6150207520	14842.3203125000	0.0000000000
0.6848738451	39.6070861816	14737.9736328125	0.0000000000
0.6848796056	39.6153640747	14824.0820312500	0.0000000000
0.6848854125	39.6161384583	14985.5332031250	0.0000000000
0.6848911963	39.6149291992	15051.1982421875	0.0000000000
0.6848969803	39.6112670898	15047.6972656250	0.0000000000
0.6849027639	39.6157913208	15219.7939453125	0.0000000000
0.6849085479	39.6114425659	15123.1455078125	0.0000000000
0.6849143315	39.6159591675	14955.5419921875	0.0000000000
0.6849201153	39.6157569885	14663.1630859375	0.0000000000
0.6849259222	39.6212806702	14876.2490234375	0.0000000000
0.6849317060	39.6243896484	15014.2138671875	0.0000000000
0.6849374900	39.6291160583	15060.4824218750	0.0000000000
0.6849432738	39.6326751709	15054.6621093750	0.0000000000
0.6849490576	39.6327629089	15173.8320312500	0.0000000000
0.6849548645	39.6404647827	15134.3496093750	0.0000000000
0.6849606249	39.6359977722	14886.9814453125	0.0000000000
0.6849664319	39.6454124451	14663.5712890625	0.0000000000
0.6849722159	39.6470527649	14777.2783203125	0.0000000000
0.6849779997	39.6499862671	14887.5781250000	0.0000000000
0.6849837835	39.6510543823	14945.2001953125	0.0000000000
0.6849895673	39.6470108032	15027.9414062500	0.0000000000
0.6849953511	39.6495132446	15118.1660156250	0.0000000000
0.6850011346	39.6450004578	15157.6289062500	0.0000000000
0.6850069416	39.6421546936	14779.8222656250	0.0000000000
0.6850127254	39.6406974792	14672.2714843750	0.0000000000
0.6850185094	39.6468544006	14766.5937500000	0.0000000000
0.6850243163	39.6416091919	14931.0732421875	0.0000000000
0.6850300767	39.6332931519	14950.3662109375	0.0000000000
0.6850358608	39.6331329346	15019.9189453125	0.0000000000
0.6850416443	39.6281394958	15121.6464843750	0.0000000000
0.6850474515	39.6253471375	15113.0048828125	0.0000000000
0.6850532353	39.6249885559	14922.1953125000	0.0000000000
0.6850590191	39.6250572205	14600.5224609375	0.0000000000
0.6850648028	39.6385993958	14726.6513671875	0.0000000000
0.6850705866	39.6330261230	14868.3964843750	0.0000000000
0.6850763704	39.6400489807	14858.7646484375	0.0000000000
0.6850821542	39.6423797607	14951.6718750000	0.0000000000
0.6850879612	39.6453781128	15082.0810546875	0.0000000000
0.6850937449	39.6593093872	15140.9101562500	0.0000000000
0.6850995287	39.6646041870	14760.7412109375	0.0000000000
0.6851053125	39.6597328186	14603.7675781250	0.0000000000
0.6851110963	39.6650772095	14718.5097656250	0.0000000000
0.6851168799	39.6592445374	14864.6376953125	0.0000000000
0.6851226637	39.6564292908	14848.2929687500	0.0000000000
0.6851284706	39.6700553894	15005.0986328125	0.0000000000
0.6851342544	39.6743850708	15058.5693359375	0.0000000000
0.6851400384	39.6730308533	15090.5117187500	0.0000000000
0.6851458222	39.6785659790	14779.2216796875	0.0000000000
0.6851516058	39.6758003235	14666.4658203125	0.0000000000
0.6851573896	39.6742248535	14626.4863281250	0.0000000000
0.6851631736	39.6762580872	14912.7597656250	0.0000000000
0.6851689803	39.6770553589	14906.3427734375	0.0000000000
0.6851747641	39.6802253723	14963.1035156250	0.0000000000
0.6851805479	39.6760406494	15109.2548828125	0.0000000000
0.6851863319	39.6752586365	15109.3203125000	0.0000000000
0.6851921386	39.6640625000	14881.6816406250	0.0000000000
0.6851978993	39.6685104370	14548.2568359375	0.0000000000
0.6852037064	39.6758079529	14639.5546875000	0.0000000000
0.6852094902	39.6806869507	14851.3105468750	0.0000000000
0.6852152740	39.6828384399	14926.4921875000	0.0000000000
0.6852210578	39.6867294312	14967.7275390625	0.0000000000
0.6852268416	39.6921958923	15037.9023437500	0.0000000000
0.6852326254	39.6954002380	15073.2089843750	0.0000000000
0.6852384323	39.7014427185	14873.4160156250	0.0000000000
0.6852442161	39.7011108398	14590.4472656250	0.0000000000
0.6852499997	39.7055320740	14793.0058593750	0.0000000000
0.6852557837	39.7105216980	14836.4560546875	0.0000000000
0.6852615673	39.7087364197	14939.3720703125	0.0000000000
0.6852673513	39.7053451538	14973.3857421875	0.0000000000
0.6852731349	39.7041931152	15112.1650390625	0.0000000000
0.6852789189	39.7079696655	15192.9873046875	0.0000000000
0.6852847258	39.7100257874	14821.3369140625	0.0000000000
0.6852905094	39.7082519531	14675.8886718750	0.0000000000
0.6852962932	39.7110328674	14655.9667968750	0.0000000000
0.6853020772	39.7126007080	14812.5576171875	0.0000000000
0.6853078610	39.7111244202	14979.2138671875	0.0000000000
0.6853136448	39.7155647278	14916.1679687500	0.0000000000
0.6853194283	39.7063064575	15157.3154296875	0.0000000000
0.6853252355	39.7206611633	15110.0683593750	0.0000000000
0.6853310191	39.7192687988	14906.4179687500	0.0000000000
