Day fraction since midnight on 	Temperature (C)	200 kPa (Pa)	Pump Run ()
0.7136651358	39.4001121521	19700.1367187500	0.0000000000
0.7136709436	39.3920021057	18997.0058593750	0.0000000000
0.7136767283	39.3946495056	20199.4511718750	0.0000000000
0.7136825130	39.3895721436	18595.3457031250	0.0000000000
0.7136882980	39.3885917664	18116.6230468750	0.0000000000
0.7136940825	39.3927688599	18167.8515625000	0.0000000000
0.7136998672	39.3897552490	16873.6933593750	0.0000000000
0.7137056519	39.3865127563	17661.9785156250	0.0000000000
0.7137114598	39.3846435547	16304.7128906250	0.0000000000
0.7137172445	39.3806877136	16025.2929687500	0.0000000000
0.7137230292	39.3794441223	17672.8007812500	0.0000000000
0.7137288139	39.3781013489	14424.7148437500	0.0000000000
0.7137345986	39.3744010925	14928.2812500000	0.0000000000
0.7137403834	39.3817138672	15391.9296875000	0.0000000000
0.7137461912	39.3740005493	14149.3291015625	0.0000000000
0.7137519759	39.3693618774	15574.1669921875	0.0000000000
0.7137577606	39.3680648804	15152.7607421875	0.0000000000
0.7137635454	39.3652801514	14519.4882812500	0.0000000000
0.7137693301	39.3635559082	15926.3857421875	0.0000000000
0.7137751150	39.3564414978	14508.1435546875	0.0000000000
0.7137808995	39.3596534729	15047.0322265625	0.0000000000
0.7137867074	39.3548889160	15673.0263671875	0.0000000000
0.7137924921	39.3565940857	14130.7343750000	0.0000000000
0.7137982768	39.3547477722	15673.1386718750	0.0000000000
0.7138040615	39.3532066345	15212.3369140625	0.0000000000
0.7138098462	39.3459930420	14524.9003906250	0.0000000000
0.7138156309	39.3487014771	15809.4228515625	0.0000000000
0.7138214157	39.3471412659	14452.0117187500	0.0000000000
0.7138272235	39.3429069519	15222.6113281250	0.0000000000
0.7138330082	39.3459548950	15706.0244140625	0.0000000000
0.7138387929	39.3354492188	14142.8574218750	0.0000000000
0.7138445779	39.3439025879	15537.2636718750	0.0000000000
0.7138503624	39.3394050598	15134.0996093750	0.0000000000
0.7138561471	39.3300704956	14549.3750000000	0.0000000000
0.7138619318	39.3317489624	15815.4687500000	0.0000000000
0.7138677399	39.3356971741	14427.9804687500	0.0000000000
0.7138735244	39.3359756470	15122.9775390625	0.0000000000
0.7138793091	39.3209648132	15697.1865234375	0.0000000000
0.7138850938	39.3259124756	14199.0996093750	0.0000000000
0.7138908785	39.3310585022	15563.4990234375	0.0000000000
