Day fraction since midnight on 	Temperature (C)	200 kPa (Pa)	Pump Run ()
0.7353428451	36.3394622803	20402.8437500000	0.0000000000
0.7353486289	36.3493690491	20328.6132812500	0.0000000000
0.7353544126	36.3527526855	20316.2402343750	0.0000000000
0.7353601963	36.3611602783	20370.3378906250	0.0000000000
0.7353659798	36.3699226379	20238.3183593750	0.0000000000
0.7353717868	36.3807563782	20396.5078125000	0.0000000000
0.7353775705	36.3823204041	20421.0742187500	0.0000000000
0.7353833542	36.3908920288	20223.8417968750	0.0000000000
Day fraction since midnight on 	Temperature (C)	200 kPa (Pa)	Pump Run ()
0.7354528048	36.4606513977	19354.1093750000	0.0000000000
0.7354585884	36.4645919800	19216.7910156250	0.0000000000
0.7354643724	36.4760894775	18728.4023437500	0.0000000000
0.7354701561	36.4873428345	18368.9003906250	0.0000000000
0.7354759398	36.4979743958	18338.7324218750	0.0000000000
0.7354817233	36.5096244812	18629.2871093750	0.0000000000
0.7354875072	36.5201835632	18600.5703125000	0.0000000000
0.7354933138	36.5340042114	18303.8593750000	0.0000000000
0.7354990975	36.5404701233	18511.8125000000	0.0000000000
0.7355048815	36.5419692993	19232.6601562500	0.0000000000
0.7355106651	36.5414962769	18490.9785156250	0.0000000000
0.7355164486	36.5427284241	18379.6308593750	0.0000000000
0.7355222323	36.5454063416	17048.6464843750	0.0000000000
0.7355280160	36.5516357422	16298.5322265625	0.0000000000
0.7355338229	36.5505256653	16760.1445312500	0.0000000000
0.7355396066	36.5525932312	16355.0107421875	0.0000000000
0.7355453903	36.5533027649	16551.2421875000	0.0000000000
0.7355511742	36.5528793335	17113.3847656250	0.0000000000
0.7355569577	36.5525779724	17832.8046875000	0.0000000000
0.7355627414	36.5475311279	18188.8144531250	0.0000000000
0.7355685251	36.5481681824	19125.0371093750	0.0000000000
0.7355743322	36.5521354675	19888.2519531250	0.0000000000
0.7355801159	36.5460968018	20260.8671875000	0.0000000000
0.7355858994	36.5477256775	20759.4882812500	0.0000000000
0.7355917064	36.5508728027	18095.5839843750	0.0000000000
0.7355974670	36.5578842163	18940.6074218750	0.0000000000
0.7356032738	36.5669555664	17884.8867187500	0.0000000000
0.7356090344	36.5755500793	16261.0556640625	0.0000000000
0.7356148410	36.5796585083	17683.8574218750	0.0000000000
0.7356206247	36.5811080933	17975.0039062500	0.0000000000
0.7356264084	36.5928230286	17052.4843750000	0.0000000000
0.7356321924	36.6086273193	17091.0195312500	0.0000000000
0.7356379761	36.6183891296	17023.4433593750	0.0000000000
0.7356437598	36.6305580139	18061.2382812500	0.0000000000
0.7356495664	36.6427879333	17269.3300781250	0.0000000000
0.7356553501	36.6523437500	17594.8496093750	0.0000000000
0.7356611338	36.6624298096	15198.9501953125	0.0000000000
0.7356669177	36.6685867310	15876.5380859375	0.0000000000
0.7356727012	36.6680755615	15957.6142578125	0.0000000000
0.7356784849	36.6812438965	15745.7646484375	0.0000000000
0.7356842686	36.6870727539	15645.9580078125	0.0000000000
0.7356900755	36.6959991455	15862.3173828125	0.0000000000
0.7356958592	36.7060127258	15697.9853515625	0.0000000000
0.7357016431	36.7157783508	15866.7597656250	0.0000000000
0.7357074268	36.7174453735	15904.8896484375	0.0000000000
0.7357132105	36.7210388184	15741.5263671875	0.0000000000
0.7357189942	36.7226715088	15754.8330078125	0.0000000000
0.7357247779	36.7324066162	15928.7656250000	0.0000000000
0.7357305845	36.7350425720	15685.1171875000	0.0000000000
0.7357363682	36.7316513062	15809.3828125000	0.0000000000
0.7357421519	36.7343330383	15869.7861328125	0.0000000000
0.7357479359	36.7436408997	15838.0078125000	0.0000000000
0.7357537196	36.7475967407	15824.4570312500	0.0000000000
0.7357595033	36.7457695007	15928.7509765625	0.0000000000
0.7357652870	36.7650451660	15823.2587890625	0.0000000000
0.7357710936	36.7676239014	15913.1103515625	0.0000000000
0.7357768773	36.7684898376	15900.6425781250	0.0000000000
0.7357826610	36.7663612366	15880.5146484375	0.0000000000
0.7357884447	36.7699241638	15829.5527343750	0.0000000000
0.7357942284	36.7646446228	15960.2089843750	0.0000000000
0.7358000121	36.7674102783	15812.2109375000	0.0000000000
0.7358057958	36.7669296265	15869.0019531250	0.0000000000
0.7358116027	36.7666091919	15925.7392578125	0.0000000000
0.7358173866	36.7651786804	15824.3271484375	0.0000000000
0.7358231701	36.7661399841	15865.5673828125	0.0000000000
0.7358289540	36.7621612549	15908.2285156250	0.0000000000
0.7358347375	36.7626762390	15772.8144531250	0.0000000000
0.7358405212	36.7669410706	15894.0820312500	0.0000000000
0.7358463165	36.7603378296	16004.7314453125	0.0000000000
0.7358521004	36.7671318054	15764.2099609375	0.0000000000
0.7358578839	36.7591629028	15838.6025390625	0.0000000000
0.7358636676	36.7572669983	15923.3486328125	0.0000000000
0.7358694513	36.7644653320	16251.1728515625	0.0000000000
0.7358752583	36.7680053711	15811.7558593750	0.0000000000
0.7358810420	36.7726097107	15960.0048828125	0.0000000000
0.7358868255	36.7732009888	15797.2011718750	0.0000000000
0.7358926095	36.7754173279	15827.8750000000	0.0000000000
0.7358983932	36.7868309021	15978.6640625000	0.0000000000
0.7359041766	36.7871971130	15826.5605468750	0.0000000000
0.7359099604	36.7926826477	15843.4189453125	0.0000000000
0.7359157672	36.8014869690	15926.8437500000	0.0000000000
0.7359215509	36.8048400879	15812.7363281250	0.0000000000
0.7359273346	36.8173637390	15913.5751953125	0.0000000000
0.7359331183	36.8199386597	15935.1953125000	0.0000000000
0.7359389136	36.8245658875	15817.1982421875	0.0000000000
0.7359446857	36.8295478821	15876.4697265625	0.0000000000
0.7359504926	36.8383255005	15992.1660156250	0.0000000000
0.7359562647	36.8495140076	15800.0312500000	0.0000000000
0.7359620484	36.8518562317	15832.4697265625	0.0000000000
0.7359678321	36.8627777100	16061.7988281250	0.0000000000
0.7359736389	36.8735237122	15841.6845703125	0.0000000000
0.7359794227	36.8763122559	15782.1289062500	0.0000000000
0.7359851948	36.8889465332	15979.4931640625	0.0000000000
0.7359909901	36.8905181885	15875.7265625000	0.0000000000
0.7359967856	36.8975753784	15759.2402343750	0.0000000000
0.7360025690	36.9035644531	15926.3173828125	0.0000000000
0.7360083530	36.9095840454	15783.2333984375	0.0000000000
0.7360141365	36.9123344421	15877.2958984375	0.0000000000
0.7360199204	36.9162902832	15877.1513671875	0.0000000000
0.7360257054	36.9280624390	15771.9248046875	0.0000000000
0.7360314891	36.9282875061	15793.5419921875	0.0000000000
0.7360372959	36.9330787659	15923.6269531250	0.0000000000
0.7360430796	36.9337234497	15757.9833984375	0.0000000000
0.7360488634	36.9327354431	15807.2695312500	0.0000000000
0.7360546471	36.9386863708	15912.0908203125	0.0000000000
