Day fraction since midnight on 	Temperature (C)	200 kPa (Pa)	Pump Run ()
0.6994691998	38.3815231323	19514.4785156250	0.0000000000
0.6994749835	38.3749389648	19648.3671875000	0.0000000000
0.6994807672	38.3691177368	19300.2304687500	0.0000000000
0.6994865509	38.3648834229	19299.0937500000	0.0000000000
0.6994923349	38.3610420227	19580.3437500000	0.0000000000
0.6994981184	38.3573608398	19796.0351562500	0.0000000000
0.6995039022	38.3414535522	19257.2460937500	0.0000000000
0.6995097090	38.3344230652	19305.8027343750	0.0000000000
0.6995154928	38.3359413147	19627.9746093750	0.0000000000
0.6995212765	38.3268394470	19780.0371093750	0.0000000000
0.6995270833	38.3155632019	19181.0546875000	0.0000000000
0.6995328439	38.3029708862	18400.0234375000	0.0000000000
0.6995386510	38.2991867065	17430.9921875000	0.0000000000
0.6995444116	38.2873764038	17072.1601562500	0.0000000000
0.6995502183	38.2764129639	16143.6464843750	0.0000000000
0.6995560020	38.2602462769	15680.6894531250	0.0000000000
0.6995617857	38.2605895996	16473.0273437500	0.0000000000
0.6995675926	38.2514343262	15300.9111328125	0.0000000000
0.6995733532	38.2494049072	14547.8808593750	0.0000000000
0.6995791369	38.2448539734	14827.3935546875	0.0000000000
0.6995849207	38.2355308533	15216.3417968750	0.0000000000
0.6995907297	38.2296333313	15541.6113281250	0.0000000000
0.6995965133	38.2244529724	14848.7402343750	0.0000000000
0.6996022970	38.2119522095	14844.2392578125	0.0000000000
0.6996080810	38.2094993591	15174.5859375000	0.0000000000
0.6996138647	38.2052268982	15510.4169921875	0.0000000000
0.6996196484	38.2015457153	14796.5976562500	0.0000000000
0.6996254319	38.1962509155	14947.2539062500	0.0000000000
0.6996312390	38.1875343323	15221.9785156250	0.0000000000
0.6996370225	38.1816673279	15513.2031250000	0.0000000000
0.6996428064	38.1785850525	14772.5576171875	0.0000000000
0.6996485901	38.1681480408	14893.7246093750	0.0000000000
0.6996543739	38.1584472656	15246.4160156250	0.0000000000
0.6996601574	38.1544227600	15429.7763671875	0.0000000000
0.6996659413	38.1443557739	14849.4267578125	0.0000000000
0.6996717479	38.1430320740	14900.3710937500	0.0000000000
0.6996775319	38.1470832825	15225.4111328125	0.0000000000
0.6996833154	38.1513977051	15435.5058593750	0.0000000000
0.6996891225	38.1482391357	14715.9609375000	0.0000000000
0.6996948828	38.1422348022	14806.9121093750	0.0000000000
0.6997006668	38.1316947937	15228.0214843750	0.0000000000
0.6997064503	38.1284523010	15461.6884765625	0.0000000000
0.6997122571	38.1193428040	14830.1992187500	0.0000000000
0.6997180411	38.1083145142	14833.4990234375	0.0000000000
