Day fraction since midnight on 	Temperature (C)	200 kPa (Pa)	Pump Run ()
0.7838531779	38.2756385803	20172.3906250000	0.0000000000
0.7838589701	38.2969894409	20242.4843750000	0.0000000000
0.7838647591	38.3005943298	19987.2500000000	0.0000000000
0.7838705593	38.3013496399	18301.1582031250	0.0000000000
0.7838763339	38.3029365540	-5954.7905273438	0.0000000000
0.7838821303	38.3031463623	-45516.6406250000	0.0000000000
0.7838879199	38.3039512634	-84191.3125000000	0.0000000000
0.7838937002	38.3042259216	-29090.8925781250	0.0000000000
0.7838994783	38.3039436340	14253.3457031250	0.0000000000
0.7839052664	38.3032875061	13650.3935546875	0.0000000000
0.7839110660	38.3044395447	13991.8193359375	0.0000000000
0.7839168637	38.2982063293	14222.7753906250	0.0000000000
0.7839226303	38.2981834412	15583.7968750000	0.0000000000
0.7839284281	38.2977333069	15918.2216796875	0.0000000000
0.7839342072	38.2847213745	14941.2402343750	0.0000000000
0.7839399961	38.2892799377	15368.6933593750	0.0000000000
0.7839457846	38.2878913879	15638.4208984375	0.0000000000
0.7839515710	38.2854614258	15980.1035156250	0.0000000000
0.7839573772	38.2902832031	16097.8876953125	0.0000000000
0.7839631772	38.2878379822	15282.6484375000	0.0000000000
0.7839689341	38.2856101990	15047.2841796875	0.0000000000
0.7839747519	38.2959518433	15396.0605468750	0.0000000000
0.7839805379	38.2926177979	15668.0634765625	0.0000000000
0.7839863157	38.2966423035	16063.6162109375	0.0000000000
0.7839921033	38.3009109497	15915.9716796875	0.0000000000
0.7839978737	38.2973556519	15116.6982421875	0.0000000000
0.7840036713	38.3011817932	15191.0566406250	0.0000000000
0.7840094603	38.2998695374	15425.5771484375	0.0000000000
0.7840152459	38.3001861572	15748.7617187500	0.0000000000
0.7840210337	38.2988204956	16061.2949218750	0.0000000000
0.7840268108	38.2973365784	15759.3437500000	0.0000000000
0.7840326047	38.3053054810	15042.7373046875	0.0000000000
0.7840383902	38.3063354492	15261.3203125000	0.0000000000
0.7840441823	38.3069953918	15579.7929687500	0.0000000000
0.7840499656	38.3084945679	15777.9248046875	0.0000000000
0.7840557649	38.3081779480	16034.9003906250	0.0000000000
0.7840615428	38.3050765991	15428.9062500000	0.0000000000
0.7840673287	38.3148956299	15028.7041015625	0.0000000000
0.7840731231	38.3130493164	15295.3906250000	0.0000000000
0.7840789085	38.3129844666	15539.1748046875	0.0000000000
0.7840846990	38.3152160645	15930.9667968750	0.0000000000
0.7840904725	38.3158378601	16140.2324218750	0.0000000000
0.7840962640	38.3210678101	15223.1582031250	0.0000000000
0.7841020457	38.3145408630	15038.8251953125	0.0000000000
0.7841078486	38.3117942810	15363.2128906250	0.0000000000
0.7841136326	38.3076515198	15882.7978515625	0.0000000000
0.7841194163	38.3103446960	16199.5673828125	0.0000000000
0.7841252003	38.3093757629	15865.2841796875	0.0000000000
0.7841309896	38.3154640198	15473.4863281250	0.0000000000
0.7841367844	38.2920379639	15210.7412109375	0.0000000000
0.7841425653	38.3092155457	15566.2832031250	0.0000000000
0.7841483529	38.3123397827	15911.3955078125	0.0000000000
0.7841541361	38.3124275208	16325.6435546875	0.0000000000
0.7841599306	38.3095970154	15819.8535156250	0.0000000000
0.7841657138	38.3109664917	15027.6445312500	0.0000000000
0.7841715085	38.3049125671	15460.3544921875	0.0000000000
0.7841772830	38.3088874817	15722.3769531250	0.0000000000
0.7841830952	38.3140258789	16138.5703125000	0.0000000000
0.7841888690	38.3120727539	16249.7519531250	0.0000000000
0.7841946599	38.3169670105	15572.7705078125	0.0000000000
0.7842004400	38.3149986267	15084.8994140625	0.0000000000
0.7842062160	38.3095626831	15447.9462890625	0.0000000000
0.7842120104	38.3059272766	15864.8339843750	0.0000000000
0.7842177940	38.3065414429	16228.2041015625	0.0000000000
0.7842235797	38.3029060364	16141.1455078125	0.0000000000
0.7842293682	38.3017921448	15204.3916015625	0.0000000000
0.7842351698	38.3116378784	15356.8046875000	0.0000000000
0.7842409358	38.3099365234	15485.3652343750	0.0000000000
0.7842467209	38.3160934448	15803.2490234375	0.0000000000
0.7842525296	38.3136596680	16180.6435546875	0.0000000000
0.7842583070	38.3158836365	15816.0576171875	0.0000000000
0.7842640995	38.3085250854	15182.2226562500	0.0000000000
0.7842698918	38.3135375977	15428.4492187500	0.0000000000
0.7842756762	38.3123474121	15608.8115234375	0.0000000000
0.7842814647	38.3138923645	15919.6533203125	0.0000000000
0.7842872513	38.3157501221	16199.5214843750	0.0000000000
0.7842930388	38.3094635010	15546.3330078125	0.0000000000
0.7842988119	38.3187561035	14939.3232421875	0.0000000000
0.7843045988	38.3072242737	15488.9775390625	0.0000000000
0.7843103928	38.3117828369	15925.5830078125	0.0000000000
0.7843161990	38.3080940247	15976.5781250000	0.0000000000
0.7843219654	38.3033027649	16278.2216796875	0.0000000000
0.7843277577	38.3102531433	15396.2324218750	0.0000000000
0.7843335370	38.3076820374	15138.5996093750	0.0000000000
0.7843393252	38.3066749573	15592.6660156250	0.0000000000
0.7843451173	38.3075637817	15752.4462890625	0.0000000000
0.7843509007	38.3080558777	16146.1806640625	0.0000000000
0.7843566789	38.3042144775	16027.6650390625	0.0000000000
0.7843624829	38.3065032959	15306.8486328125	0.0000000000
0.7843682804	38.3085556030	15220.8505859375	0.0000000000
0.7843740516	38.3126525879	15557.1640625000	0.0000000000
0.7843798313	38.3014488220	15918.1406250000	0.0000000000
0.7843856362	38.3094520569	16222.6591796875	0.0000000000
0.7843914085	38.3037452698	15792.6611328125	0.0000000000
0.7843972133	38.3111648560	15137.7255859375	0.0000000000
0.7844029786	38.3085784912	15337.2666015625	0.0000000000
0.7844087801	38.2987670898	15670.6835937500	0.0000000000
0.7844145589	38.3075065613	15900.9316406250	0.0000000000
0.7844203394	38.3053894043	16123.8144531250	0.0000000000
0.7844261219	38.3072509766	15736.3222656250	0.0000000000
0.7844319166	38.3136901855	15214.5087890625	0.0000000000
0.7844377163	38.3039703369	15575.2421875000	0.0000000000
0.7844434914	38.3092079163	15633.8154296875	0.0000000000
0.7844492868	38.3055076599	16131.4765625000	0.0000000000
0.7844550583	38.3044395447	16055.2558593750	0.0000000000
0.7844608591	38.3027420044	15320.3789062500	0.0000000000
0.7844666375	38.3048667908	15074.4804687500	0.0000000000
0.7844724245	38.3104019165	15529.2470703125	0.0000000000
0.7844782101	38.3026771545	15836.9404296875	0.0000000000
0.7844839996	38.3022499084	16266.4355468750	0.0000000000
0.7844897897	38.3011093140	16093.4462890625	0.0000000000
0.7844955643	38.3017196655	15245.4042968750	0.0000000000
0.7845013755	38.3065147400	15243.9560546875	0.0000000000
0.7845071600	38.3059158325	15722.6982421875	0.0000000000
0.7845129457	38.3025817871	15904.4843750000	0.0000000000
0.7845187185	38.2996788025	16289.5966796875	0.0000000000
0.7845245062	38.3019332886	15723.0566406250	0.0000000000
0.7845302869	38.3041915894	15165.8896484375	0.0000000000
0.7845360930	38.3018684387	15373.8583984375	0.0000000000
0.7845418822	38.2999153137	15707.7373046875	0.0000000000
0.7845476690	38.3031311035	16036.6230468750	0.0000000000
0.7845534401	38.3019943237	16243.0634765625	0.0000000000
0.7845592304	38.3026275635	15531.0673828125	0.0000000000
0.7845650229	38.3046226501	15075.7597656250	0.0000000000
0.7845708098	38.3060798645	15621.1318359375	0.0000000000
0.7845765849	38.2962570190	15726.7246093750	0.0000000000
0.7845823804	38.3059730530	16151.4960937500	0.0000000000
0.7845881786	38.3062171936	16174.7011718750	0.0000000000
0.7845939557	38.3032188416	15497.6669921875	0.0000000000
0.7845997562	38.3002586365	15199.8720703125	0.0000000000
0.7846055399	38.3009643555	15642.9013671875	0.0000000000
0.7846113203	38.3092994690	15852.7490234375	0.0000000000
0.7846170944	38.3095626831	16124.3623046875	0.0000000000
0.7846228934	38.3115882874	15791.5742187500	0.0000000000
0.7846286685	38.3118095398	15227.8583984375	0.0000000000
0.7846344598	38.3077545166	15407.1259765625	0.0000000000
0.7846402489	38.3065261841	15739.5781250000	0.0000000000
0.7846460400	38.3091545105	15889.3222656250	0.0000000000
0.7846518237	38.3031120300	16135.3896484375	0.0000000000
0.7846576269	38.3080673218	15658.3740234375	0.0000000000
0.7846633922	38.3052368164	15078.4160156250	0.0000000000
0.7846691992	38.3083076477	15511.3974609375	0.0000000000
0.7846749611	38.3003578186	15734.7109375000	0.0000000000
0.7846807619	38.3047752380	16122.4257812500	0.0000000000
0.7846865455	38.3041648865	16261.9453125000	0.0000000000
0.7846923429	38.3089714050	15522.1367187500	0.0000000000
0.7846981244	38.3057556152	15183.2978515625	0.0000000000
0.7847039065	38.3029479980	15557.0214843750	0.0000000000
0.7847097034	38.2979774475	15923.0039062500	0.0000000000
0.7847154856	38.3046531677	16093.9882812500	0.0000000000
0.7847212716	38.2967414856	15938.9677734375	0.0000000000
0.7847270539	38.3003311157	14987.4716796875	0.0000000000
0.7847328380	38.3013763428	15204.9990234375	0.0000000000
0.7847386423	38.3079185486	15565.0859375000	0.0000000000
0.7847444243	38.3051223755	15963.3271484375	0.0000000000
0.7847501975	38.3077888489	16303.2373046875	0.0000000000
0.7847559945	38.3030471802	15577.0849609375	0.0000000000
0.7847617730	38.2971878052	15128.5156250000	0.0000000000
0.7847675713	38.3096504211	15423.2470703125	0.0000000000
0.7847733559	38.3051528931	15453.5507812500	0.0000000000
0.7847791499	38.3088684082	15983.5419921875	0.0000000000
0.7847849175	38.3018989563	16111.5312500000	0.0000000000
0.7847907177	38.3014602661	15542.2675781250	0.0000000000
0.7847964979	38.3024787903	15016.2802734375	0.0000000000
0.7848022933	38.3009147644	15539.0205078125	0.0000000000
0.7848080771	38.3011627197	15548.3369140625	0.0000000000
0.7848138638	38.3036575317	16052.1748046875	0.0000000000
0.7848196376	38.3026237488	16013.1298828125	0.0000000000
0.7848254511	38.3001441956	15287.1582031250	0.0000000000
0.7848312320	38.2971725464	15147.9970703125	0.0000000000
0.7848370180	38.3081092834	15585.1005859375	0.0000000000
0.7848428065	38.2988090515	15892.0673828125	0.0000000000
0.7848485795	38.2991294861	16090.3427734375	0.0000000000
0.7848543650	38.3036041260	15808.1210937500	0.0000000000
0.7848601637	38.3013801575	15149.7255859375	0.0000000000
0.7848659370	38.2980499268	15378.7519531250	0.0000000000
0.7848717224	38.2965202332	15542.4326171875	0.0000000000
0.7848775332	38.2987556458	15869.1025390625	0.0000000000
0.7848832957	38.2963523865	16170.5097656250	0.0000000000
0.7848891026	38.2971916199	15727.8554687500	0.0000000000
0.7848948712	38.2991867065	14862.8212890625	0.0000000000
0.7849006697	38.2963829041	15426.8486328125	0.0000000000
0.7849064707	38.2988090515	15630.5410156250	0.0000000000
0.7849122412	38.2956809998	16035.2568359375	0.0000000000
0.7849180322	38.2981262207	15947.4638671875	0.0000000000
0.7849238253	38.2948417664	15435.2265625000	0.0000000000
0.7849295936	38.2982826233	15142.0947265625	0.0000000000
0.7849354135	38.2969284058	15410.9589843750	0.0000000000
0.7849411974	38.2921142578	15581.3710937500	0.0000000000
0.7849469551	38.2905921936	16050.4628906250	0.0000000000
0.7849527550	38.2902793884	16122.3935546875	0.0000000000
0.7849585612	38.2941474915	15061.0644531250	0.0000000000
0.7849643259	38.2899932861	15194.8291015625	0.0000000000
0.7849701073	38.2902030945	15303.2666015625	0.0000000000
0.7849759042	38.2884101868	15590.0976562500	0.0000000000
0.7849816789	38.2928352356	16216.8076171875	0.0000000000
0.7849874791	38.2875061035	15818.3476562500	0.0000000000
0.7849932692	38.2829055786	15129.1884765625	0.0000000000
0.7849990393	38.2845077515	15068.2880859375	0.0000000000
0.7850048270	38.2908630371	15644.2685546875	0.0000000000
0.7850106301	38.2841072083	15841.4814453125	0.0000000000
0.7850164138	38.2931289673	16126.9472656250	0.0000000000
0.7850221961	38.2877426147	15504.7861328125	0.0000000000
0.7850279822	38.2835083008	14948.3984375000	0.0000000000
0.7850337664	38.2912673950	15377.6484375000	0.0000000000
0.7850395586	38.2921333313	15609.1396484375	0.0000000000
0.7850453447	38.2848281860	15953.5849609375	0.0000000000
0.7850511398	38.2937164307	16074.7197265625	0.0000000000
0.7850569240	38.2931442261	15467.0429687500	0.0000000000
0.7850627143	38.2963829041	15003.2734375000	0.0000000000
0.7850685037	38.2831993103	15383.9658203125	0.0000000000
0.7850742826	38.2880134583	15746.0947265625	0.0000000000
0.7850800757	38.2835922241	16152.7167968750	0.0000000000
0.7850858433	38.2833938599	16149.8261718750	0.0000000000
0.7850916404	38.2812309265	15061.1445312500	0.0000000000
0.7850974341	38.2832832336	15275.3613281250	0.0000000000
0.7851032053	38.2830619812	15500.6171875000	0.0000000000
0.7851090055	38.2797584534	15715.9755859375	0.0000000000
0.7851147790	38.2821846008	16269.4931640625	0.0000000000
0.7851205745	38.2860260010	15652.0878906250	0.0000000000
0.7851263609	38.2860755920	14949.3945312500	0.0000000000
0.7851321507	38.2839508057	15268.0673828125	0.0000000000
0.7851379285	38.2923698425	15689.7285156250	0.0000000000
0.7851437311	38.2784805298	15736.2714843750	0.0000000000
0.7851495026	38.2835388184	16166.3525390625	0.0000000000
0.7851552984	38.2823066711	15524.6992187500	0.0000000000
0.7851610905	38.2749977112	15047.6083984375	0.0000000000
0.7851668732	38.2833480835	15420.1298828125	0.0000000000
0.7851726764	38.2685241699	15606.0761718750	0.0000000000
0.7851784471	38.2797241211	16039.7236328125	0.0000000000
0.7851842354	38.2826004028	16142.5878906250	0.0000000000
0.7851900277	38.2897415161	15264.6259765625	0.0000000000
0.7851958043	38.2798156738	15187.9199218750	0.0000000000
0.7852015833	38.2825355530	15565.4052734375	0.0000000000
0.7852073862	38.2875251770	15920.8486328125	0.0000000000
0.7852131763	38.2889556885	16164.8623046875	0.0000000000
0.7852189450	38.2836990356	15906.1396484375	0.0000000000
0.7852247465	38.2799301147	15183.0400390625	0.0000000000
0.7852305589	38.2847137451	15036.2441406250	0.0000000000
0.7852363085	38.2852592468	15508.1533203125	0.0000000000
0.7852421144	38.2839889526	15835.5468750000	0.0000000000
0.7852478998	38.2832908630	16022.4697265625	0.0000000000
0.7852536745	38.2804069519	15585.6289062500	0.0000000000
0.7852594581	38.2826881409	14999.6904296875	0.0000000000
0.7852652656	38.2774391174	15392.7089843750	0.0000000000
0.7852710490	38.2802772522	15583.4199218750	0.0000000000
0.7852768337	38.2725715637	16015.4638671875	0.0000000000
0.7852826050	38.2737770081	16182.9150390625	0.0000000000
0.7852883973	38.2782440186	15467.4296875000	0.0000000000
0.7852941947	38.2753639221	14988.3330078125	0.0000000000
0.7852999713	38.2723007202	15391.0449218750	0.0000000000
0.7853057775	38.2754592896	15750.3857421875	0.0000000000
0.7853115470	38.2686080933	16122.8613281250	0.0000000000
0.7853173382	38.2707061768	16075.2128906250	0.0000000000
0.7853231335	38.2685432434	15093.4960937500	0.0000000000
0.7853289205	38.2728462219	15143.0839843750	0.0000000000
0.7853347082	38.2700309753	15519.7822265625	0.0000000000
0.7853404808	38.2642402649	15724.1523437500	0.0000000000
0.7853462778	38.2724151611	16039.9746093750	0.0000000000
0.7853520634	38.2725563049	15754.4335937500	0.0000000000
0.7853578483	38.2825431824	15161.5898437500	0.0000000000
0.7853636222	38.2729225159	15422.5302734375	0.0000000000
0.7853694298	38.2775192261	15683.2353515625	0.0000000000
0.7853752102	38.2796707153	15973.6259765625	0.0000000000
0.7853809834	38.2746429443	16183.4492187500	0.0000000000
0.7853867868	38.2758483887	15473.6113281250	0.0000000000
0.7853925628	38.2704696655	15041.3730468750	0.0000000000
0.7853983619	38.2813796997	15580.6855468750	0.0000000000
0.7854041397	38.2729263306	15612.7597656250	0.0000000000
0.7854099388	38.2768020630	15985.9902343750	0.0000000000
0.7854157254	38.2778244019	16124.3642578125	0.0000000000
0.7854215046	38.2762527466	15163.3349609375	0.0000000000
0.7854272810	38.2780532837	15209.0380859375	0.0000000000
0.7854330800	38.2753295898	15540.7343750000	0.0000000000
0.7854388744	38.2722511292	15516.9492187500	0.0000000000
0.7854446457	38.2714080811	16191.6943359375	0.0000000000
0.7854504396	38.2768783569	15966.9472656250	0.0000000000
0.7854562268	38.2756690979	15148.4482421875	0.0000000000
0.7854620252	38.2735900879	15214.4023437500	0.0000000000
0.7854677891	38.2720603943	15464.3193359375	0.0000000000
0.7854735878	38.2707290649	15858.9687500000	0.0000000000
0.7854793715	38.2734985352	16227.8554687500	0.0000000000
0.7854851559	38.2683677673	15651.8398437500	0.0000000000
0.7854909395	38.2744026184	14964.3134765625	0.0000000000
0.7854967432	38.2668075562	15184.9414062500	0.0000000000
0.7855025176	38.2743263245	15498.9960937500	0.0000000000
0.7855083014	38.2754173279	16009.6367187500	0.0000000000
0.7855140978	38.2729835510	16057.5585937500	0.0000000000
0.7855198752	38.2672805786	15537.4736328125	0.0000000000
0.7855256732	38.2659645081	15066.5341796875	0.0000000000
0.7855314596	38.2660408020	15446.5244140625	0.0000000000
0.7855372360	38.2700233459	15634.1660156250	0.0000000000
0.7855430283	38.2671585083	15985.7246093750	0.0000000000
0.7855488066	38.2677841187	16159.6601562500	0.0000000000
0.7855546015	38.2656974792	15537.2880859375	0.0000000000
