Day fraction since midnight on 	Temperature (C)	200 kPa (Pa)	Pump Run ()
0.7653452831	23.1049480438	20653.5839843750	0.0000000000
0.7653510589	23.1149520874	20432.1523437500	0.0000000000
0.7653568577	23.1171398163	20287.8242187500	0.0000000000
0.7653626519	23.1240062714	20327.7382812500	0.0000000000
0.7653684297	23.1249332428	20136.7988281250	0.0000000000
0.7653742095	23.1345386505	20389.8125000000	0.0000000000
0.7653799977	23.1368007660	20576.5527343750	0.0000000000
0.7653857984	23.1417503357	20021.3945312500	0.0000000000
0.7653915815	23.1403656006	20477.2753906250	0.0000000000
0.7653973661	23.1429748535	8244.1503906250	0.0000000000
0.7654031436	23.1436576843	-33442.1601562500	0.0000000000
0.7654089390	23.1486949921	-80419.0859375000	0.0000000000
0.7654147335	23.1533737183	-105527.7812500000	0.0000000000
0.7654205081	23.1562995911	-3437.0126953125	0.0000000000
0.7654263077	23.1578102112	15053.7968750000	0.0000000000
0.7654320897	23.1647205353	14800.9208984375	0.0000000000
0.7654378639	23.1704521179	14591.8183593750	0.0000000000
0.7654436611	23.1778640747	15004.6767578125	0.0000000000
0.7654494488	23.1857032776	15501.2958984375	0.0000000000
0.7654552235	23.1843795776	15697.4560546875	0.0000000000
0.7654610095	23.1963195801	15904.8828125000	0.0000000000
0.7654668104	23.1953945160	16102.0888671875	0.0000000000
0.7654726139	23.1963348389	15961.6015625000	0.0000000000
0.7654783722	23.2036247253	16219.8398437500	0.0000000000
0.7654841736	23.2078323364	16080.3320312500	0.0000000000
0.7654899533	23.2102127075	16175.2636718750	0.0000000000
0.7654957401	23.2147274017	16145.0507812500	0.0000000000
0.7655015315	23.2121391296	16407.7285156250	0.0000000000
0.7655073147	23.2228813171	16253.3818359375	0.0000000000
0.7655130985	23.2293567657	16099.6640625000	0.0000000000
0.7655189014	23.2238407135	15840.2685546875	0.0000000000
0.7655246680	23.2240180969	15928.3300781250	0.0000000000
0.7655304554	23.2268562317	15843.0810546875	0.0000000000
0.7655362571	23.2363853455	16019.7871093750	0.0000000000
0.7655420484	23.2330608368	15984.9521484375	0.0000000000
